season,episode,airdate,hosts,youtube_id, view_count,like_count,dislike_count,title,year,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner,gregg_popcorn,gregg_oscar,tim_popcorn,tim_oscar
2,8,3/28/2013,Ayaka Ohwaki|Gregg Turkington|Jimmy McNichol|Tim Heidecker,jFmz7t07i7w,146736,1078,18,Temptation: Confessions of a Marriage Counselor,2013,2070862,5.0,111,Jurnee Smollett|Lance Gross|Kim Kardashian West|Vanessa Williams|Robbie Jones,11383,False,NA,NA,4,False
2,9,4/4/2013,Gregg Turkington|Tim Heidecker,ri0n5EMEApY,165667,1397,25,The Company You Keep,2012,1381404,6.4,125,Robert Redford|Shia LaBeouf|Julie Christie|Susan Sarandon|Nick Nolte,31425,False,5,False,4,False
2,9,4/4/2013,Gregg Turkington|Tim Heidecker,ri0n5EMEApY,165667,1397,25,Jurassic Park,1993,0107290,8.1,127,Sam Neill|Laura Dern|Jeff Goldblum|Richard Attenborough|Bob Peck,856936,False,NA,False,NA,False
2,10,4/11/2013,Gregg Turkington|Tim Heidecker,R_5-N9t26V8,179318,1479,11,Oblivion,2013,1483013,7.0,124,Tom Cruise|Morgan Freeman|Olga Kurylenko|Andrea Riseborough|Nikolaj Coster-Waldau,481770,False,5,False,NA,False
2,10,4/11/2013,Gregg Turkington|Tim Heidecker,R_5-N9t26V8,179318,1479,11,Scary Movie 5,2013,0795461,3.5,88,Ashley Tisdale|Simon Rex|Gracie Whitton|Ava Kolker|Dylan Morris,65274,False,5,False,4,False
3,1,7/3/2013,Gregg Turkington|Tim Heidecker,Sx19DKoUdUg,228913,1970,46,Despicable Me 2,2013,1690953,7.3,98,Steve Carell|Kristen Wiig|Benjamin Bratt|Miranda Cosgrove|Russell Brand,366411,False,5,True,4,False
3,1,7/3/2013,Gregg Turkington|Tim Heidecker,Sx19DKoUdUg,228913,1970,46,The Lone Ranger,2013,1210819,6.4,150,Johnny Depp|Armie Hammer|William Fichtner|Tom Wilkinson|Ruth Wilson,219701,False,4,False,5,True
3,2,7/10/2013,Gregg Turkington|Tim Heidecker,-3fzhadeZgg,191364,1634,117,Pacific Rim,2013,1663662,6.9,131,Charlie Hunnam|Diego Klattenhoff|Idris Elba|Rinko Kikuchi|Charlie Day,462663,False,5,False,4,False
3,2,7/10/2013,Gregg Turkington|Tim Heidecker,-3fzhadeZgg,191364,1634,117,Grown Ups 2,2013,2191701,5.4,101,Adam Sandler|Kevin James|Chris Rock|David Spade|Salma Hayek,139199,False,5,False,5,False
3,3,7/17/2013,Gregg Turkington|Tim Heidecker,_1g-Q7Nim6A,170263,1605,41,Turbo,2013,1860353,6.4,96,Ryan Reynolds|Paul Giamatti|Michael Peña|Samuel L. Jackson|Luis Guzmán,82889,False,5,False,5,False
